[17-04-2015 09:57:38]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 09:57:38]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 09:57:38]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:57:38]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 09:57:38]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 09:57:38]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:57:38]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 09:57:38]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 09:57:47]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:57:47]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 09:57:47]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 09:57:47]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:57:47]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 09:57:47]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 09:57:47]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:57:47]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 09:57:47]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 09:57:47]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:57:47]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 09:57:47]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 09:57:54]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:57:54]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 09:57:54]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 09:57:54]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:57:54]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 09:57:54]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 09:57:54]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:57:54]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 09:57:54]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 09:57:54]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:57:54]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 09:57:54]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 10:01:24]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 10:01:24]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 10:01:24]:[ControllerRol][getRolById]:Exito    id:1
